Start Program: 2016-04-26 17:43:33
2016-04-26 17:43:33     Data_10_20160405215423.dat
2016-04-26 17:43:34     Data_10_20160405215434.dat
2016-04-26 17:43:35     Data_10_20160405215445.dat
2016-04-26 17:43:37     Data_10_20160405215456.dat
2016-04-26 17:43:38     Data_10_20160405215507.dat
2016-04-26 17:43:39     Data_10_20160405215518.dat
2016-04-26 17:43:40     Data_10_20160405215529.dat
2016-04-26 17:43:41     Data_10_20160405215540.dat
2016-04-26 17:43:42     Data_10_20160405215551.dat
Start Program: 2016-04-26 17:50:18
2016-04-26 17:50:18     Data_10_20160405215602.dat     143352
2016-04-26 17:50:19     Data_10_20160405215613.dat     143352
2016-04-26 17:50:20     Data_10_20160405215624.dat     143352
2016-04-26 17:50:21     Data_10_20160405215635.dat     143352
2016-04-26 17:50:22     Data_10_20160405215646.dat     143352
Start Program: 2016-04-26 17:50:36
2016-04-26 17:50:36     Data_10_20160405215657.dat     143352
2016-04-26 17:50:38     Data_10_20160405215708.dat     143352
2016-04-26 17:50:39     Data_10_20160405215719.dat     143352
2016-04-26 17:50:40     Data_10_20160405215730.dat     143352
2016-04-26 17:50:41     Data_10_20160405215741.dat     143352
2016-04-26 17:50:42     Data_10_20160405215752.dat     143352
2016-04-26 17:50:44     Data_10_20160405215803.dat     143352
2016-04-26 17:50:45     Data_10_20160405215814.dat     143352
2016-04-26 17:50:46     Data_10_20160405215825.dat     143352
2016-04-26 17:50:47     Data_10_20160405215836.dat     143352
2016-04-26 17:50:48     Data_10_20160405215847.dat     143352
2016-04-26 17:50:49     Data_10_20160405215858.dat     143352
2016-04-26 17:50:50     Data_10_20160405215909.dat     143352
2016-04-26 17:50:52     Data_10_20160405215920.dat     143352
2016-04-26 17:50:53     Data_10_20160405215931.dat     143352
2016-04-26 17:50:54     Data_10_20160405215942.dat     143352
2016-04-26 17:50:55     Data_10_20160405215953.dat     143352
2016-04-26 17:50:56     Data_10_20160405220004.dat     143352
2016-04-26 17:50:57     Data_10_20160405220015.dat     143352
2016-04-26 17:50:58     Data_10_20160405220026.dat     143352
2016-04-26 17:50:59     Data_10_20160405220037.dat     143352
2016-04-26 17:51:00     Data_10_20160405220048.dat     143352
2016-04-26 17:51:02     Data_10_20160405220059.dat     143352
2016-04-26 17:51:03     Data_10_20160405220110.dat     143352
2016-04-26 17:51:04     Data_10_20160405220121.dat     143352
2016-04-26 17:51:05     Data_10_20160405220132.dat     143352
2016-04-26 17:51:06     Data_10_20160405220143.dat     143352
2016-04-26 17:51:07     Data_10_20160405220154.dat     143352
2016-04-26 17:51:08     Data_10_20160405220205.dat     143352
2016-04-26 17:51:09     Data_10_20160405220216.dat     143352
2016-04-26 17:51:10     Data_10_20160405220227.dat     143352
2016-04-26 17:51:12     Data_10_20160405220238.dat     143352
2016-04-26 17:51:13     Data_10_20160405220249.dat     143352
2016-04-26 17:51:14     Data_10_20160405220300.dat     143352
2016-04-26 17:51:15     Data_10_20160405220311.dat     143352
2016-04-26 17:51:16     Data_10_20160405220322.dat     143352
2016-04-26 17:51:17     Data_10_20160405220333.dat     143352
2016-04-26 17:51:18     Data_10_20160405220344.dat     143352
2016-04-26 17:51:19     Data_10_20160405220355.dat     143352
2016-04-26 17:51:20     Data_10_20160405220406.dat     143352
2016-04-26 17:51:22     Data_10_20160405220417.dat     143352
2016-04-26 17:51:23     Data_10_20160405220428.dat     143352
2016-04-26 17:51:24     Data_10_20160405220439.dat     143352
2016-04-26 17:51:25     Data_10_20160405220450.dat     143352
2016-04-26 17:51:26     Data_10_20160405220501.dat     143352
2016-04-26 17:51:27     Data_10_20160405220512.dat     143352
2016-04-26 17:51:28     Data_10_20160405220523.dat     143352
2016-04-26 17:51:29     Data_10_20160405220534.dat     143352
2016-04-26 17:51:30     Data_10_20160405220545.dat     143352
2016-04-26 17:51:32     Data_10_20160405220556.dat     143352
2016-04-26 17:51:33     Data_10_20160405220607.dat     143352
2016-04-26 17:51:34     Data_10_20160405220618.dat     143352
2016-04-26 17:51:35     Data_10_20160405220629.dat     143352
2016-04-26 17:51:36     Data_10_20160405220640.dat     143352
2016-04-26 17:51:37     Data_10_20160405220651.dat     143352
Start Program: 2016-04-26 17:55:17
2016-04-26 17:55:17     Data_10_20160405220702.dat     143352
2016-04-26 17:55:18     Data_10_20160405220713.dat     143352
2016-04-26 17:55:19     Data_10_20160405220724.dat     143352
2016-04-26 17:55:20     Data_10_20160405220735.dat     143352
2016-04-26 17:55:22     Data_10_20160405220746.dat     143352
2016-04-26 17:55:23     Data_10_20160405220757.dat     143352
2016-04-26 17:55:24     Data_10_20160405220808.dat     143352
2016-04-26 17:55:25     Data_10_20160405220819.dat     143352
2016-04-26 17:55:26     Data_10_20160405220830.dat     143352
2016-04-26 17:55:27     Data_10_20160405220841.dat     143352
2016-04-26 17:55:28     Data_10_20160405220852.dat     143352
2016-04-26 17:55:29     Data_10_20160405220903.dat     143352
2016-04-26 17:55:30     Data_10_20160405220914.dat     143352
